Airline,Aircraft,Day,Scheduled Time,Actual Time
Jetstar,JQ500,1 Aug 2024,6:00 AM,6:07 AM
Jetstar,JQ500,02 Aug 2024,6:00 AM,6:24 AM
Jetstar,JQ500,03 Aug 2024,6:00 AM,6:11 AM
Jetstar,JQ500,04 Aug 2024,6:00 AM,6:11 AM
Jetstar,JQ500,05 Aug 2024,6:00 AM,6:11 AM
Jetstar,JQ500,06 Aug 2024,6:00 AM,6:10 AM
Jetstar,JQ500,07 Aug 2024,6:00 AM,6:04 AM
Jetstar,JQ500,08 Aug 2024,6:00 AM,6:06 AM
Jetstar,JQ500,09 Aug 2024,6:00 AM,6:03 AM
Jetstar,JQ500,10 Aug 2024,6:00 AM,6:18 AM
Jetstar,JQ500,11 Aug 2024,6:00 AM,6:22 AM
Jetstar,JQ500,12 Aug 2024,6:00 AM,6:06 AM
Jetstar,JQ500,13 Aug 2024,6:00 AM,6:06 AM
Jetstar,JQ500,14 Aug 2024,6:00 AM,6:15 AM
Jetstar,JQ500,15 Aug 2024,6:00 AM,6:14 AM
Jetstar,JQ500,16 Aug 2024,6:00 AM,6:11 AM
Jetstar,JQ500,17 Aug 2024,6:00 AM,6:52 AM
Jetstar,JQ500,18 Aug 2024,6:00 AM,6:04 AM
Jetstar,JQ500,19 Aug 2024,6:00 AM,6:19 AM
Jetstar,JQ500,20 Aug 2024,6:00 AM,6:04 AM
Jetstar,JQ500,21 Aug 2024,6:00 AM,6:10 AM
Jetstar,JQ500,22 Aug 2024,6:00 AM,6:02 AM
Jetstar,JQ500,23 Aug 2024,6:00 AM,6:08 AM
Jetstar,JQ500,24 Aug 2024,6:00 AM,6:17 AM
Jetstar,JQ500,25 Aug 2024,6:00 AM,
Jetstar,JQ500,26 Aug 2024,6:00 AM,6:01 AM
Jetstar,JQ500,27 Aug 2024,6:00 AM,6:06 AM
Jetstar,JQ500,28 Aug 2024,6:00 AM,6:32 AM
Jetstar,JQ500,29 Aug 2024,6:00 AM,6:05 AM
Jetstar,JQ500,30 Aug 2024,6:00 AM,6:14 AM
Jetstar,JQ500,31 Aug 2024,6:00 AM,6:18 AM
Jetstar,JQ502,1 Aug 2024,7:30 AM,7:48 AM
Jetstar,JQ502,02 Aug 2024,7:30 AM,7:56 AM
Jetstar,JQ502,03 Aug 2024,7:30 AM,7:37 AM
Jetstar,JQ502,04 Aug 2024,7:30 AM,7:35 AM
