Airline,Aircraft,Day,Time,Price ( AUD )
Jetstar,JQ500,22 Sep 2024,6:00 AM,473
Jetstar,JQ502,22 Sep 2024,7:30 AM,394
Jetstar,JQ504,22 Sep 2024,8:15 AM,
Jetstar,JQ508,22 Sep 2024,9:25 AM,473
Jetstar,JQ512,22 Sep 2024,12:25 PM,394
Jetstar,JQ518,22 Sep 2024,2:25 PM,394
Jetstar,JQ520,22 Sep 2024,3:25 PM,394
Jetstar,JQ522,22 Sep 2024,4:15 PM,394
Jetstar,JQ524,22 Sep 2024,5:40 PM,
Jetstar,JQ528,22 Sep 2024,7:15 PM,394
Jetstar,JQ530,22 Sep 2024,8:15 PM,394
Jetstar,JQ532,22 Sep 2024,8:50 PM,394
Jetstar,JQ500,23 Sep 2024,6:00 AM,394
Jetstar,JQ502,23 Sep 2024,7:30 AM,327
Jetstar,JQ504,23 Sep 2024,8:15 AM,270
Jetstar,JQ508,23 Sep 2024,9:25 AM,327
Jetstar,JQ512,23 Sep 2024,12:25 PM,327
Jetstar,JQ518,23 Sep 2024,2:25 PM,270
Jetstar,JQ520,23 Sep 2024,3:25 PM,270
Jetstar,JQ522,23 Sep 2024,3:55 PM,230
Jetstar,JQ524,23 Sep 2024,5:40 PM,394
Jetstar,JQ528,23 Sep 2024,7:15 PM,230
Jetstar,JQ530,23 Sep 2024,8:15 PM,198
Jetstar,JQ532,23 Sep 2024,8:50 PM,198
Jetstar,JQ500,24 Sep 2024,6:00 AM,230
Jetstar,JQ502,24 Sep 2024,7:25 AM,198
Jetstar,JQ504,24 Sep 2024,8:15 AM,198
Jetstar,JQ508,24 Sep 2024,9:25 AM,176
Jetstar,JQ512,24 Sep 2024,12:25 PM,176
Jetstar,JQ518,24 Sep 2024,2:25 PM,176
Jetstar,JQ520,24 Sep 2024,3:25 PM,176
Jetstar,JQ522,24 Sep 2024,4:15 PM,198
Jetstar,JQ524,24 Sep 2024,5:40 PM,
Jetstar,JQ528,24 Sep 2024,7:15 PM,176
Jetstar,JQ530,24 Sep 2024,8:15 PM,158
Jetstar,JQ532,24 Sep 2024,8:50 PM,158
Jetstar,JQ500,25 Sep 2024,6:00 AM,141
Jetstar,JQ502,25 Sep 2024,7:30 AM,127
Jetstar,JQ504,25 Sep 2024,8:15 AM,127
Jetstar,JQ508,25 Sep 2024,9:25 AM,141
Jetstar,JQ512,25 Sep 2024,12:25 PM,141
