Airline,Aircraft,Day,Time,Price ( AUD ),Scheduled Time,Actual Time
jetstar,jq500,02 aug 2024,14.0,230.0,6:00 AM,6:24 AM
jetstar,jq500,03 aug 2024,14.0,230.0,6:00 AM,6:11 AM
jetstar,jq500,04 aug 2024,14.0,230.0,6:00 AM,6:11 AM
jetstar,jq500,05 aug 2024,14.0,230.0,6:00 AM,6:11 AM
jetstar,jq500,06 aug 2024,14.0,230.0,6:00 AM,6:10 AM
jetstar,jq500,07 aug 2024,14.0,230.0,6:00 AM,6:04 AM
jetstar,jq500,08 aug 2024,14.0,230.0,6:00 AM,6:06 AM
jetstar,jq500,09 aug 2024,14.0,230.0,6:00 AM,6:03 AM
jetstar,jq500,1 aug 2024,14.0,230.0,6:00 AM,6:07 AM
jetstar,jq500,1 oct 2024,6.0,79.0,6:00 AM,6:07 AM
jetstar,jq500,10 aug 2024,14.0,230.0,6:00 AM,6:18 AM
jetstar,jq500,11 aug 2024,14.0,230.0,6:00 AM,6:22 AM
jetstar,jq500,12 aug 2024,14.0,230.0,6:00 AM,6:06 AM
jetstar,jq500,13 aug 2024,14.0,230.0,6:00 AM,6:06 AM
jetstar,jq500,14 aug 2024,14.0,230.0,6:00 AM,6:15 AM
jetstar,jq500,15 aug 2024,14.0,230.0,6:00 AM,6:14 AM
jetstar,jq500,16 aug 2024,14.0,230.0,6:00 AM,6:11 AM
jetstar,jq500,17 aug 2024,14.0,230.0,6:00 AM,6:52 AM
jetstar,jq500,18 aug 2024,14.0,230.0,6:00 AM,6:04 AM
jetstar,jq500,19 aug 2024,14.0,230.0,6:00 AM,6:19 AM
jetstar,jq500,2 oct 2024,6.0,84.0,6:00 AM,6:19 AM
jetstar,jq500,20 aug 2024,14.0,230.0,6:00 AM,6:04 AM
jetstar,jq500,21 aug 2024,14.0,230.0,6:00 AM,6:10 AM
jetstar,jq500,22 aug 2024,14.0,230.0,6:00 AM,6:02 AM
jetstar,jq500,22 sep 2024,6.0,473.0,6:00 AM,6:02 AM
jetstar,jq500,23 aug 2024,14.0,230.0,6:00 AM,6:08 AM
jetstar,jq500,23 sep 2024,6.0,394.0,6:00 AM,6:08 AM
jetstar,jq500,24 aug 2024,14.0,230.0,6:00 AM,6:17 AM
jetstar,jq500,24 sep 2024,6.0,230.0,6:00 AM,6:17 AM
jetstar,jq500,25 aug 2024,14.0,230.0,6:00 AM,6:17 AM
jetstar,jq500,25 sep 2024,6.0,141.0,6:00 AM,6:17 AM
jetstar,jq500,26 aug 2024,14.0,230.0,6:00 AM,6:01 AM
jetstar,jq500,26 sep 2024,6.0,141.0,6:00 AM,6:01 AM
jetstar,jq500,27 aug 2024,14.0,230.0,6:00 AM,6:06 AM
jetstar,jq500,27 sep 2024,6.0,198.0,6:00 AM,6:06 AM
jetstar,jq500,28 aug 2024,14.0,230.0,6:00 AM,6:32 AM
jetstar,jq500,28 sep 2024,6.0,113.0,6:00 AM,6:32 AM
jetstar,jq500,29 aug 2024,14.0,230.0,6:00 AM,6:05 AM
jetstar,jq500,29 sep 2024,6.0,270.0,6:00 AM,6:05 AM
jetstar,jq500,3 oct 2024,6.0,141.0,6:00 AM,6:05 AM
jetstar,jq500,30 aug 2024,14.0,230.0,6:00 AM,6:14 AM
jetstar,jq500,30 sep 2024,6.0,158.0,6:00 AM,6:14 AM
jetstar,jq500,31 aug 2024,14.0,230.0,6:00 AM,6:18 AM
jetstar,jq500,4 oct 2024,6.0,176.0,6:00 AM,6:18 AM
jetstar,jq500,5 oct 2024,6.0,158.0,6:00 AM,6:18 AM
jetstar,jq500,6 oct 2024,6.0,127.0,6:00 AM,6:18 AM
jetstar,jq502,02 aug 2024,14.0,230.0,7:30 AM,7:56 AM
jetstar,jq502,03 aug 2024,14.0,230.0,7:30 AM,7:37 AM
jetstar,jq502,04 aug 2024,14.0,230.0,7:30 AM,7:35 AM
jetstar,jq502,05 aug 2024,14.0,230.0,7:30 AM,7:46 AM
jetstar,jq502,06 aug 2024,14.0,230.0,7:30 AM,7:38 AM
jetstar,jq502,07 aug 2024,14.0,230.0,7:30 AM,7:49 AM
jetstar,jq502,08 aug 2024,14.0,230.0,7:30 AM,7:55 AM
jetstar,jq502,09 aug 2024,14.0,230.0,7:30 AM,7:47 AM
jetstar,jq502,1 aug 2024,14.0,230.0,7:30 AM,7:48 AM
jetstar,jq502,1 oct 2024,7.0,84.0,7:30 AM,7:48 AM
jetstar,jq502,10 aug 2024,14.0,230.0,7:30 AM,7:48 AM
jetstar,jq502,11 aug 2024,14.0,230.0,7:30 AM,7:58 AM
jetstar,jq502,12 aug 2024,14.0,230.0,7:30 AM,8:13 AM
jetstar,jq502,13 aug 2024,14.0,230.0,7:25 AM,7:52 AM
jetstar,jq502,14 aug 2024,14.0,230.0,7:30 AM,8:12 AM
jetstar,jq502,15 aug 2024,14.0,230.0,7:30 AM,8:12 AM
jetstar,jq502,16 aug 2024,14.0,230.0,7:30 AM,8:05 AM
jetstar,jq502,17 aug 2024,14.0,230.0,7:30 AM,7:40 AM
jetstar,jq502,18 aug 2024,14.0,230.0,7:30 AM,7:42 AM
jetstar,jq502,19 aug 2024,14.0,230.0,7:30 AM,7:45 AM
jetstar,jq502,2 oct 2024,7.0,90.0,7:30 AM,7:45 AM
jetstar,jq502,20 aug 2024,14.0,230.0,7:25 AM,7:31 AM
jetstar,jq502,21 aug 2024,14.0,230.0,7:30 AM,7:57 AM
jetstar,jq502,22 aug 2024,14.0,230.0,7:30 AM,7:41 AM
jetstar,jq502,22 sep 2024,7.0,394.0,7:30 AM,7:41 AM
jetstar,jq502,23 aug 2024,14.0,230.0,7:30 AM,7:40 AM
jetstar,jq502,23 sep 2024,7.0,327.0,7:30 AM,7:40 AM
jetstar,jq502,24 aug 2024,14.0,230.0,7:30 AM,7:33 AM
jetstar,jq502,24 sep 2024,7.0,198.0,7:30 AM,7:33 AM
jetstar,jq502,25 aug 2024,14.0,230.0,7:30 AM,7:39 AM
jetstar,jq502,25 sep 2024,7.0,127.0,7:30 AM,7:39 AM
jetstar,jq502,26 aug 2024,14.0,230.0,7:30 AM,7:46 AM
jetstar,jq502,26 sep 2024,7.0,158.0,7:30 AM,7:46 AM
jetstar,jq502,27 aug 2024,14.0,230.0,7:25 AM,7:46 AM
jetstar,jq502,27 sep 2024,7.0,198.0,7:25 AM,7:46 AM
jetstar,jq502,28 aug 2024,14.0,230.0,7:30 AM,8:01 AM
jetstar,jq502,28 sep 2024,7.0,113.0,7:30 AM,8:01 AM
jetstar,jq502,29 aug 2024,14.0,230.0,7:30 AM,7:42 AM
jetstar,jq502,29 sep 2024,7.0,394.0,7:30 AM,7:42 AM
jetstar,jq502,3 oct 2024,7.0,127.0,7:30 AM,7:42 AM
jetstar,jq502,30 aug 2024,14.0,230.0,7:30 AM,7:50 AM
jetstar,jq502,30 sep 2024,7.0,141.0,7:30 AM,7:50 AM
jetstar,jq502,31 aug 2024,14.0,230.0,7:30 AM,8:03 AM
jetstar,jq502,4 oct 2024,7.0,198.0,7:30 AM,8:03 AM
jetstar,jq502,5 oct 2024,7.0,158.0,7:30 AM,8:03 AM
jetstar,jq502,6 oct 2024,7.0,127.0,7:30 AM,8:03 AM
jetstar,jq504,02 aug 2024,14.0,230.0,8:15 AM,9:26 AM
jetstar,jq504,03 aug 2024,14.0,230.0,8:15 AM,9:10 AM
jetstar,jq504,04 aug 2024,14.0,230.0,8:15 AM,8:18 AM
jetstar,jq504,05 aug 2024,14.0,230.0,8:15 AM,8:26 AM
jetstar,jq504,06 aug 2024,14.0,230.0,8:15 AM,8:31 AM
jetstar,jq504,07 aug 2024,14.0,230.0,8:15 AM,8:27 AM
jetstar,jq504,08 aug 2024,14.0,230.0,8:15 AM,8:20 AM
jetstar,jq504,09 aug 2024,14.0,230.0,8:15 AM,8:22 AM
jetstar,jq504,1 aug 2024,14.0,230.0,8:15 AM,9:01 AM
jetstar,jq504,1 oct 2024,8.0,99.0,8:15 AM,9:01 AM
jetstar,jq504,10 aug 2024,14.0,230.0,8:15 AM,8:21 AM
jetstar,jq504,11 aug 2024,14.0,230.0,8:15 AM,8:18 AM
jetstar,jq504,12 aug 2024,14.0,230.0,8:15 AM,8:31 AM
jetstar,jq504,13 aug 2024,14.0,230.0,8:15 AM,8:27 AM
jetstar,jq504,14 aug 2024,14.0,230.0,8:15 AM,8:30 AM
jetstar,jq504,15 aug 2024,14.0,230.0,8:15 AM,8:21 AM
jetstar,jq504,16 aug 2024,14.0,230.0,8:15 AM,8:47 AM
jetstar,jq504,17 aug 2024,14.0,230.0,8:15 AM,8:15 AM
jetstar,jq504,18 aug 2024,14.0,230.0,8:15 AM,8:28 AM
jetstar,jq504,19 aug 2024,14.0,230.0,8:15 AM,8:24 AM
jetstar,jq504,2 oct 2024,8.0,90.0,8:15 AM,8:24 AM
jetstar,jq504,20 aug 2024,14.0,230.0,8:15 AM,8:34 AM
jetstar,jq504,21 aug 2024,14.0,230.0,8:15 AM,8:22 AM
jetstar,jq504,22 aug 2024,14.0,230.0,8:15 AM,8:29 AM
jetstar,jq504,22 sep 2024,8.0,230.0,8:15 AM,8:29 AM
jetstar,jq504,23 aug 2024,14.0,230.0,8:15 AM,9:07 AM
jetstar,jq504,23 sep 2024,8.0,270.0,8:15 AM,9:07 AM
jetstar,jq504,24 aug 2024,14.0,230.0,8:15 AM,8:21 AM
jetstar,jq504,24 sep 2024,8.0,198.0,8:15 AM,8:21 AM
jetstar,jq504,25 aug 2024,14.0,230.0,8:15 AM,8:26 AM
jetstar,jq504,25 sep 2024,8.0,127.0,8:15 AM,8:26 AM
jetstar,jq504,26 aug 2024,14.0,230.0,8:15 AM,8:30 AM
jetstar,jq504,26 sep 2024,8.0,158.0,8:15 AM,8:30 AM
jetstar,jq504,27 aug 2024,14.0,230.0,8:15 AM,8:27 AM
jetstar,jq504,27 sep 2024,8.0,198.0,8:15 AM,8:27 AM
jetstar,jq504,28 aug 2024,14.0,230.0,8:15 AM,9:19 AM
jetstar,jq504,28 sep 2024,8.0,99.0,8:15 AM,9:19 AM
jetstar,jq504,29 aug 2024,14.0,230.0,8:15 AM,8:29 AM
jetstar,jq504,29 sep 2024,8.0,394.0,8:15 AM,8:29 AM
jetstar,jq504,3 oct 2024,8.0,127.0,8:15 AM,8:29 AM
jetstar,jq504,30 aug 2024,14.0,230.0,8:15 AM,8:34 AM
jetstar,jq504,30 sep 2024,8.0,141.0,8:15 AM,8:34 AM
jetstar,jq504,31 aug 2024,14.0,230.0,8:15 AM,8:31 AM
jetstar,jq504,4 oct 2024,8.0,230.0,8:15 AM,8:31 AM
jetstar,jq504,5 oct 2024,8.0,198.0,8:15 AM,8:31 AM
jetstar,jq504,6 oct 2024,8.0,141.0,8:15 AM,8:31 AM
jetstar,jq508,02 aug 2024,14.0,230.0,9:25 AM,8:31 AM
jetstar,jq508,03 aug 2024,14.0,230.0,9:25 AM,9:48 AM
jetstar,jq508,04 aug 2024,14.0,230.0,9:25 AM,9:30 AM
jetstar,jq508,05 aug 2024,14.0,230.0,9:25 AM,9:35 AM
jetstar,jq508,06 aug 2024,14.0,230.0,9:25 AM,9:31 AM
jetstar,jq508,07 aug 2024,14.0,230.0,9:25 AM,9:38 AM
jetstar,jq508,08 aug 2024,14.0,230.0,9:25 AM,9:38 AM
jetstar,jq508,09 aug 2024,14.0,230.0,9:25 AM,9:51 AM
jetstar,jq508,1 aug 2024,14.0,230.0,9:25 AM,9:52 AM
jetstar,jq508,1 oct 2024,9.0,90.0,9:25 AM,9:52 AM
jetstar,jq508,10 aug 2024,14.0,230.0,9:25 AM,9:39 AM
jetstar,jq508,11 aug 2024,14.0,230.0,9:25 AM,9:37 AM
jetstar,jq508,12 aug 2024,14.0,230.0,9:25 AM,9:44 AM
jetstar,jq508,13 aug 2024,14.0,230.0,9:25 AM,9:42 AM
jetstar,jq508,14 aug 2024,14.0,230.0,9:25 AM,9:45 AM
jetstar,jq508,15 aug 2024,14.0,230.0,9:25 AM,10:11 AM
jetstar,jq508,16 aug 2024,14.0,230.0,9:25 AM,9:54 AM
jetstar,jq508,17 aug 2024,14.0,230.0,9:25 AM,9:56 AM
jetstar,jq508,18 aug 2024,14.0,230.0,9:25 AM,9:38 AM
jetstar,jq508,19 aug 2024,14.0,230.0,9:25 AM,9:43 AM
jetstar,jq508,2 oct 2024,9.0,113.0,9:25 AM,9:43 AM
jetstar,jq508,20 aug 2024,14.0,230.0,9:25 AM,9:47 AM
jetstar,jq508,21 aug 2024,14.0,230.0,9:25 AM,9:36 AM
jetstar,jq508,22 aug 2024,14.0,230.0,9:25 AM,10:13 AM
jetstar,jq508,22 sep 2024,9.0,473.0,9:25 AM,10:13 AM
jetstar,jq508,23 aug 2024,14.0,230.0,9:25 AM,9:48 AM
jetstar,jq508,23 sep 2024,9.0,327.0,9:25 AM,9:48 AM
jetstar,jq508,24 aug 2024,14.0,230.0,9:25 AM,9:42 AM
jetstar,jq508,24 sep 2024,9.0,176.0,9:25 AM,9:42 AM
jetstar,jq508,25 aug 2024,14.0,230.0,9:25 AM,10:37 AM
jetstar,jq508,25 sep 2024,9.0,141.0,9:25 AM,10:37 AM
jetstar,jq508,26 aug 2024,14.0,230.0,9:25 AM,9:41 AM
jetstar,jq508,26 sep 2024,9.0,176.0,9:25 AM,9:41 AM
jetstar,jq508,27 aug 2024,14.0,230.0,9:25 AM,9:37 AM
jetstar,jq508,27 sep 2024,9.0,176.0,9:25 AM,9:37 AM
jetstar,jq508,28 aug 2024,14.0,230.0,9:25 AM,9:37 AM
jetstar,jq508,28 sep 2024,9.0,113.0,9:25 AM,9:37 AM
jetstar,jq508,29 aug 2024,14.0,230.0,9:25 AM,9:56 AM
jetstar,jq508,29 sep 2024,9.0,473.0,9:25 AM,9:56 AM
jetstar,jq508,3 oct 2024,9.0,141.0,9:25 AM,9:56 AM
jetstar,jq508,30 aug 2024,14.0,230.0,9:25 AM,9:46 AM
jetstar,jq508,30 sep 2024,9.0,158.0,9:25 AM,9:46 AM
jetstar,jq508,31 aug 2024,14.0,230.0,9:25 AM,9:38 AM
jetstar,jq508,4 oct 2024,9.0,198.0,9:25 AM,9:38 AM
jetstar,jq508,5 oct 2024,9.0,176.0,9:25 AM,9:38 AM
jetstar,jq508,6 oct 2024,9.0,158.0,9:25 AM,9:38 AM
jetstar,jq512,02 aug 2024,14.0,230.0,12:25 PM,1:06 PM
jetstar,jq512,03 aug 2024,14.0,230.0,12:25 PM,12:41 PM
jetstar,jq512,04 aug 2024,14.0,230.0,12:25 PM,12:43 PM
jetstar,jq512,05 aug 2024,14.0,230.0,12:25 PM,12:42 PM
jetstar,jq512,06 aug 2024,14.0,230.0,12:25 PM,12:33 PM
jetstar,jq512,07 aug 2024,14.0,230.0,12:25 PM,12:39 PM
jetstar,jq512,08 aug 2024,14.0,230.0,12:25 PM,12:38 PM
jetstar,jq512,09 aug 2024,14.0,230.0,12:25 PM,12:30 PM
jetstar,jq512,1 aug 2024,14.0,230.0,12:25 PM,12:52 PM
jetstar,jq512,1 oct 2024,12.0,113.0,12:25 PM,12:52 PM
jetstar,jq512,10 aug 2024,14.0,230.0,12:25 PM,12:55 PM
jetstar,jq512,11 aug 2024,14.0,230.0,12:25 PM,12:38 PM
jetstar,jq512,12 aug 2024,14.0,230.0,12:25 PM,12:58 PM
jetstar,jq512,13 aug 2024,14.0,230.0,12:25 PM,1:16 PM
